pair_id,exercise_id,source_type,topic,difficulty,exercise_type,entry_point,evaluation_mode,public_tests_total,public_tests_passed,hidden_tests_total,hidden_tests_passed,public_pass_rate,hidden_pass_rate,surface_checks_total,surface_checks_passed,shape_checks_passed,behavior_checks_passed,correctness_status,reference_solution_fully_valid,required_packages_satisfied,missing_packages,exec_prereq_status,timeout_seconds,max_memory_bytes,failure_message,solution_overlay_hit,tests_overlay_hit
PAIR-CURATED-CNN-01,CNN-01,Expert,CNN,intermediate,code completion,conv_forward_naive,function_completion,2,2,1,1,1.0,1.0,2,2,1,1,pass,True,True,,exec_ok,10,536870912,,True,True
PAIR-CURATED-CNN-01,AI-CURATED-CNN-01,AI,CNN,intermediate,code completion,conv_forward_naive,function_completion,2,2,1,1,1.0,1.0,2,2,1,1,pass,True,True,,exec_ok,10,536870912,,True,True
PAIR-CURATED-CNN-02,CNN-02,Expert,CNN,beginner,concept-to-code,comp_conv2d,concept_to_code,2,2,1,1,1.0,1.0,1,1,0,1,pass,True,True,,exec_ok,10,536870912,,True,True
PAIR-CURATED-CNN-02,AI-CURATED-CNN-02,AI,CNN,beginner,code completion,compute_conv2d_output_shape,function_completion,2,2,1,1,1.0,1.0,1,1,0,1,pass,True,True,,exec_ok,10,536870912,,True,True
PAIR-CURATED-CNN-03,CNN-03,Expert,CNN,beginner-intermediate,model building,model,model_building,2,2,1,1,1.0,1.0,1,1,0,1,pass,True,True,,exec_ok,10,536870912,,True,True
PAIR-CURATED-CNN-03,AI-CURATED-CNN-03,AI,CNN,beginner-intermediate,model building,model,model_building,2,2,1,1,1.0,1.0,1,1,0,1,pass,True,True,,exec_ok,10,536870912,,True,True
PAIR-CURATED-CNN-04,CNN-04,Expert,CNN,intermediate,training-analysis,comparison_note,training_analysis,2,2,1,1,1.0,1.0,1,1,0,1,pass,True,True,,exec_ok,10,536870912,,True,True
PAIR-CURATED-CNN-04,AI-CURATED-CNN-04,AI,CNN,intermediate,training-analysis,interpretation,training_analysis,2,2,1,1,1.0,1.0,1,1,0,1,pass,True,True,,exec_ok,10,536870912,,True,True
PAIR-CURATED-DTL-01,DTL-01,Expert,Optimization,intermediate,training-analysis,best_lambda,training_analysis,2,2,1,1,1.0,1.0,1,1,0,1,pass,True,True,,exec_ok,10,536870912,,True,True
PAIR-CURATED-DTL-01,AI-CURATED-DTL-01,AI,Optimization,intermediate,training-analysis,best_weight_decay,training_analysis,2,2,1,1,1.0,1.0,1,1,0,1,pass,True,True,,exec_ok,10,536870912,,True,True
PAIR-CURATED-DTL-02,DTL-02,Expert,Optimization,intermediate,training-analysis,optimal_lambda,training_analysis,2,2,1,1,1.0,1.0,1,1,0,1,pass,True,True,,exec_ok,10,536870912,,True,True
PAIR-CURATED-DTL-02,AI-CURATED-DTL-02,AI,Optimization,intermediate,training-analysis,selected_weight_decay,training_analysis,2,2,1,1,1.0,1.0,1,1,0,1,pass,True,True,,exec_ok,10,536870912,,True,True
PAIR-CURATED-DTL-03,DTL-03,Expert,Transformer,intermediate,training-analysis,attention_summary,training_analysis,2,2,1,1,1.0,1.0,1,1,0,1,pass,True,True,,exec_ok,10,536870912,,True,True
PAIR-CURATED-DTL-03,AI-CURATED-DTL-03,AI,Transformer,intermediate,training-analysis,head_comparison_note,training_analysis,2,2,1,1,1.0,1.0,1,1,0,1,pass,True,True,,exec_ok,10,536870912,,True,True
PAIR-CURATED-KER-01,KER-01,Expert,CNN,beginner,model building,model,model_building,2,2,1,1,1.0,1.0,1,1,0,1,pass,True,True,,exec_ok,10,536870912,,True,True
PAIR-CURATED-KER-01,AI-CURATED-KER-01,AI,CNN,beginner,model building,model,model_building,2,2,1,1,1.0,1.0,1,1,0,1,pass,True,True,,exec_ok,10,536870912,,True,True
